20_01_14_4,_ECI
Aberdeen,-0.242102035
Aldershot,1.133695034
Barnsley,-1.722714727
Basildon,-0.459444647
Birkenhead,-0.54492009
Birmingham,-0.951304964
Blackburn,-0.752240817
Blackpool,-0.962658018
Bournemouth,0.421359102
Bradford,-1.204011561
Brighton,2.086005192
Bristol,1.331184214
Burnley,-1.252855056
Cambridge,2.313578001
Cardiff,1.196071915
Chatham,-0.274356857
Coventry,-0.898365883
Crawley,1.382584694
Derby,-1.316991596
Doncaster,-1.261385441
Dundee,0.392701369
Edinburgh,2.739434314
Exeter,0.642679034
Glasgow,1.804554477
Gloucester,-0.529574794
Huddersfield,-1.643290261
Hull,-1.119356623
Ipswich,0.423868654
Leeds,1.104566307
Leicester,-0.874900578
Liverpool,0.529926416
London,3.701565889
Luton,-0.022838608
Manchester,0.515131896
Mansfield,-1.199772933
Middlesbrough,-1.470919866
Milton Keynes,0.162014772
Newcastle,-0.532524977
Newport,-1.122338491
Northampton,-0.510649671
Norwich,0.160710361
Nottingham,0.045937934
Oxford,2.435883958
Peterborough,0.510623594
Plymouth,-0.52119893
Portsmouth,0.266513893
Preston,-0.783225584
Reading,2.280865123
Sheffield,-0.944695696
Slough,1.011058315
Southampton,0.220012628
Southend,0.039486077
Stoke,-1.674931514
Sunderland,-1.221368847
Swansea,-1.391788503
Swindon,0.829881858
Telford,-1.354857342
Wakefield,-1.474044418
Warrington,0.210191844
Wigan,-1.23201143
Worthing,0.426331957
York,1.149221939
